id,nombre,recorrido,atractivos,direccion,barrio,comuna,geometry
33,18. MALBA,Recorrido Amarillo,Museo de Arte Popular J. Hernández - Ecoparque Interactivo - Planetario Galileo Galilei - Paseo del Rosedal - Parque 3 de Febrero - Jardín Japonés,"Figueroa Alcorta, Pres. Av. 3465,  entre Jerónimo Salguero y San Martín de Tours",Palermo,Comuna 14,POINT (-58.4042883352058 -34.57683344555577)
34,17. Aeropuerto - Monumento a Cristóbal Colón,Recorrido Rojo,,"Obligado Rafael, Av.Costanera 4200",Palermo,Comuna 14,POINT (-58.410896481229535 -34.557642627148546)
35,19. Planetario,Recorrido Amarillo,Jardín Japonés - Ecoparque Interactivo - Planetario Galileo Galilei - Paseo del Rosedal - Museo de Artes Plásticas Savori,"Sarmiento Av. 3600, entre Av Figueroa Alcorta y Av Del Libertador",Palermo,Comuna 14,POINT (-58.41291751829318 -34.57244419023645)
36,18. Parque de la Memoria,Recorrido Rojo,Club Hípico Argentino - Tierra Santa - Monumento a los Policías Caídos en el Cumplimiento del Deber - Estadio River Plate - Converse Skate Plaza,"Obligado Rafael, Av.Costanera 7400",Belgrano,Comuna 13,POINT (-58.43631492074325 -34.54233315786743)
37,20. Plaza Italia - Ecoparque,Recorrido Amarillo,,"Sarmiento Av. 2900, entre Av Colombia y Av Santa Fe",Palermo,Comuna 14,POINT (-58.418673844953176 -34.57855421821344)
38,19. El Monumental,Recorrido Rojo,Paseo de las Américas - Club Hípico Argentino - Converse Skate Plaza - Jardín de Esculturas - Museo Deportivo River - Museo Islas Malvinas e Islas del Atlántico Sur - Centro Cultural de la Memoria Haroldo Conti,"Figueroa Alcorta, Pres. Av. 7576",Belgrano,Comuna 13,POINT (-58.449063686858814 -34.54684935032825)
39,21. Palermo - Plaza Serrano,Recorrido Amarillo,Jardín Botánico Carlos Thays - Pasajes Porteños - Plazoleta Julio Cortázar (ex Plaza Serrano) - Plaza Italia - Ecoparque Interactivo,"El Salvador 4870, entre Jorge Luis Borges y Gurruchaga",Palermo,Comuna 14,POINT (-58.428929924297314 -34.588113943912674)
40,20. Barrio Chino,Recorrido Rojo,Estación Elevada FFCC Belgrano C - Barrio Chino - Parque Barrancas de Belgrano - Viaducto FFCC Mitre Tigre,"Vertiz Virrey Av. 1950, entre Echeverría y Mcal Antonio Sucre",Belgrano,Comuna 13,POINT (-58.44902002160823 -34.55956253603377)
41,23. Palermo - Distrito Arcos,Recorrido Amarillo,Centro Cultural de la Ciencia - Paseo del Rosedal - La Rural - Ecoparque Interactivo - Distrito Arcos,"Paraguay 4975,  entre Av Juan B. Justo y Godoy Cruz",Palermo,Comuna 14,POINT (-58.42862250731772 -34.58117093204681)
42,24. Bosques de Palermo - Rosedal,Recorrido Amarillo,Mezquita Centro Cultural Islámico Rey Fahd - Hipódromo Argentino de Palermo - Planetario Galileo Galilei - Campo Argentino de Polo - Paseo del Rosedal,"Del Libertador Av. 3850, entre Av Int. Bullrich y Sinclair",Palermo,Comuna 14,POINT (-58.42283331340201 -34.571597349017274)
43,21. Campo Argentino de Polo - Hipódromo,Recorrido Rojo,Planetario Galileo Galilei - Campo Argentino de Polo - Paseo del Rosedal - Museo Sívori - Hipódromo Argentino de Palermo,"Del Libertador Av. 4060, entre Av Dorrego y Ortega y Gasset",Palermo,Comuna 14,POINT (-58.426279914567594 -34.569939654793885)
44,22. Monumento de los Españoles,Recorrido Rojo,Paseo del Rosedal - Sociedad Rural Argentina - Jardín Botánico Carlos Thays - Jardín Japonés - Museo Evita,"Del Libertador Av. 3250, entre Av Sarmiento y República de la India",Palermo,Comuna 14,POINT (-58.41418317083649 -34.575622537632306)
45,25. Monumento de los Españoles,Recorrido Amarillo,Jardín Botánico Carlos Thays - Jardín Japonés - Museo Evita - Paseo del Rosedal - Sociedad Rural Argentina,"Del Libertador Av. 3250, entre Av Sarmiento y República de la India",Palermo,Comuna 14,POINT (-58.41410746384705 -34.5756523199901)
46,26. Museo Nacional de Bellas Artes,Recorrido Amarillo,Floralis Genérica - Centro Cultural Recoleta - Cementerio de la Recoleta - Biblioteca Nacional - Basílica Nuestra Señora del Pilar,"Del Libertador Av. 1473, entre Dr. Luis Agote y Av Pueyrredón",Recoleta,Comuna 2,POINT (-58.39319827260343 -34.58442446218445)
47,23. Museo Nacional de Arte Decorativo,Recorrido Rojo,,"Pereyra Lucena y Del Libertador Av., entre Pereyra Lucena y Sánchez de Bustamante",Palermo,Comuna 14,POINT (-58.40132921239642 -34.58231495487081)
48,24. Recoleta - MNBA,Recorrido Rojo,Biblioteca Nacional - Cementerio de la Recoleta - Centro Cultural Recoleta - Floralis Genérica - Basílica Nuestra Señora del Pilar,"Del Libertador Av. 1473, entre Dr. Luis Agote y Av Pueyrredón",Recoleta,Comuna 2,POINT (-58.39296751555267 -34.58449588013795)
49,25. 9 de Julio - Teatro Colón,Recorrido Rojo,Obelisco - Teatro Colón - Galerías Pacífico - Teatro Cervantes - Plaza San Martín,"Cerrito 890, entre Av Córdoba y Paraguay",Retiro,Comuna 1,POINT (-58.38268526823442 -34.59818796887449)
50,11. El Atenero,Recorrido Rojo,Plaza Rodríguez Peña - Palacio Sarmiento - Pasaje Pizzurno - Av Callao - Librería El Ateneo Grand Splendid,"Callao Av. 951, entre Paraguay y Marcelo T. de Alvear",Recoleta,Comuna 2,POINT (-58.392881974158975 -34.59792646170782)
51,02. Obelisco - Parada de Campeones,Recorrido Amarillo,Av 9 de Julio - Obelisco - Monumento BA,"Corrientes Av. 1101, esquina Cerrito",San Nicolas,Comuna 1,POINT (-58.382405108256144 -34.6037013663384)
52,03. Plaza de Mayo - Casa Rosada,Recorrido Amarillo,Pirámide de Mayo - Casa Rosada - Plaza de Mayo - Cabildo de Buenos Aires,"Yrigoyen, Hipolito Av. 472, entre Bolívar y Defensa",Monserrat,Comuna 1,POINT (-58.37293709810812 -34.60903793376367)
53,11. Puerto Madero - Costanera Sur,Recorrido Amarillo,Diques - Museo del Humor - Feria Costanera Sur (fines de semana) - Parque Eva Duarte de Perón - Parque Micaela Bastidas - Experiencias Náuticas,"Moreau De Justo, Alicia Av. 1710, esquina Av Rosario Vera Peñaloza",Puerto Madero,Comuna 1,POINT (-58.36546192513491 -34.61832745955899)
54,22. Villa Crespo - Mercat,Recorrido Amarillo,Mercado gastronómico y cultural,"Thames 750, entre Aguirre y Juan Ramírez de Velazco",Villa Crespo,Comuna 15,POINT (-58.440397993245746 -34.59360176312891)
